정류소명, 코드, 단축코드
종각역YMCA,100900116,1683
동대문역.2번출구,100900117,1682
종로문화센터,100900118,1667
EN갤러리,100900119,1607
경진빌라,100900120,1597
금강제화,100900121,1596
창신초교,100900122,1825
교남동새마을금고,100900123,1824
형제봉입구,100900124,1823
현대사거리,100900125,1819
대신중고,100900126,1817
연화정사,100900127,1816
이화사거리,100900128,1815
삼청공원삼거리.옥호정터,100900129,1814
재동초등학교,100900131,1812
카센터.터널앞,100900133,1810
감람산기도원,100900134,1809
금융연수원,100900135,1807
충신시장,100900137,1804
사직동주민센터,100900138,1803
김창열.윤명로화실,100900139,1802
박노수미술관,100900140,1801
삼청동주민센터,100900141,1800
상명대입구,100900142,1799
대학로입구.이화사거리,100900143,1797
운현궁,100900144,1798
배화여중고,100900145,1796
감사원,100900147,1851
청룡사.보문파크뷰자이아파트,100900148,1850
강북삼성병원,100900149,1849
혜화초등학교,100900151,1847
상명대입구,100900152,1846
사우디대사관,100900153,1845
서울시교육청,100900154,1843
김종영미술관,100900155,1842
세검정교회,100900156,1840
안국선원.삼거리,100900157,1839
스위스대사관,100900159,1837
보현빌라,100900160,1836
하림각,100900161,1835
북촌한옥마을입구.정세권활동터,100900162,1833
숭인1동주민센터,100900163,1832
월암공원,100900164,1831
지구촌교회,100900165,1830
부암슈퍼,100900166,1829
볼링장,100900167,1827
가회동주민센터,100900168,1826
새마을금고,100900169,1862
상명초등학교,100900170,1861
서울국제고등학교,100900171,1858
통일부,100900172,1856
종로센트레빌후문.e편한세상보문아파트,100900173,1855
국립민속박물관,100900174,1540
경복궁역,100900177,1685
삼청공원,100900178,1501
법련사,100900179,1720
엄마분식,100900180,1791
부암동주민센터.무계원,100900181,1821
구기터널입구,100900182,1549
청구빌라,100900184,1577
독립문역3번출구,100900186,1554
신학대학교총회본부,100900187,1587
적십자병원후문앞,100900188,1514
안국역2번출구앞,100900189,1805
종로5가역,100900191,1794
동대문종합시장,100900192,1702
명륜새마을금고,100900197,1504
성균관대학교앞,100900198,1598
성대입구,100900199,1697
혜화동로터리,100900200,1841
국민생활관,100900201,1852
서울성곽.성대후문,100900202,1515
성대후문.와룡공원,100900203,1860
성균관대학교,100900204,1881
동묘역,100900205,1595
종로센트레빌아파트,100900206,1563
창신초등학교,100900207,1582
창신쌍용1단지.종로센트레빌아파트,100900210,1844
종각.공평유적전시관,100900211,1888
조계사,100900213,1889
독립문역,100900214,1882
교남동주민센터,100900215,1820
종로1.2.3.4가동주민센터,100900217,1557
남대문세무서.서울백병원,101000001,2001
서울백병원.국가인권위.안중근활동터,101000002,2002
서울역버스환승센터,101000003,2003
서울역버스환승센터,101000004,2004
서울역버스환승센터,101000005,2005
서울역버스환승센터,101000006,2006
서울역버스환승센터.강우규의거터,101000007,2007
숭례문,101000008,2008
만리동고개,101000009,2101
손기정체육공원입구,101000010,2102
서울의료보건고등학교.서울역서부,101000011,2103
서울역서부,101000012,2104
서울역서부,101000013,2105
중림동교차로,101000014,2106
종근당.충정로역,101000015,2107
한국경제신문사.서소문역사공원,101000016,2108
